clusterName,gene
H1,ENSG00000157890
MG,ENSG00000078098
MG,ENSG00000148604
Astrocyte,ENSG00000243620
Microglia,ENSG00000018280
PG_OFF_1,ENSG00000165084
PG_OFF_1,ENSG00000287290
11,ENSG00000169302
11,ENSG00000128573
OFF-SAC*,ENSG00000284862
OFF-SAC*,ENSG00000115665
OFF-SAC*,ENSG00000166342
OFF-SAC*,ENSG00000155307
ON-SAC,ENSG00000141655
ON-SAC,ENSG00000284862
OFF-SAC,ENSG00000130147
OFF-SAC,ENSG00000284862
