CrossArea_cluster,mean,std,median,count,q1,q3,f_score
Sncg_4,-0.12785682183103567,0.22629985765706911,-0.14414627692626425,956,-0.3023945741917672,0.07947235232097713,0.5579652996845426
L2/3 IT_4,-0.17255958067183036,0.24629945710738294,-0.1598468842124278,5103,-0.35085674939874845,0.03565979231445585,0.5346642468239564
Sst_4,-0.23087730433639062,0.19208034563743218,-0.16813947615178404,394,-0.32267893444506807,-0.08953752188199955,0.3169014084507042
L5 IT_6,-0.15232751398192915,0.25436933125981387,-0.172321571644178,8413,-0.3531898301028276,0.0636779877215906,0.6344879447290501
Sst_30,-0.17832471406753908,0.1539377028760683,-0.1845070690934088,2689,-0.2961491529139877,-0.0594086276516497,0.5059282117914569
Vip_24,-0.2302660897374018,0.259685505315516,-0.2072705099583127,304,-0.45967075756467146,0.0026982671798888,0.2410714285714285
Sst_29,-0.21728477426966714,0.22242858830869072,-0.2123552472815646,726,-0.3880000015387528,-0.028036941341930174,0.363905325443787
Sst_14,-0.22263269291851345,0.13606742407212913,-0.2153790630762415,35,-0.31185740815188034,-0.1172834677595854,0.238095238095238
Sst_1,-0.2292789853671656,0.19152632960987545,-0.21835595257864734,2672,-0.3381334963973882,-0.1028430038875662,0.5797803617571059
L5 ET_2,-0.22850809912220024,0.27973905900118634,-0.225929354498146,5675,-0.46766455617937763,0.0364722406142456,0.7399087876931455
L5 IT_3,-0.20431229349188168,0.18736126462823793,-0.2261721698403632,4474,-0.3209555480458984,-0.075544717412952,0.4704393834828617
Vip_1,-0.23485742778064037,0.24708710090840588,-0.2318481909784166,4877,-0.3898731885173637,-0.0445975188723585,0.557075439436427
Vip_17,-0.24538774988307735,0.199349549861346,-0.2403049335713291,716,-0.40658768149282554,-0.05788595606376287,0.5178100263852242
OPC_1,-0.2310362668294176,0.2319222030497482,-0.254637122532358,7229,-0.4250355649671979,-0.0309147564350572,0.8386556144403678
Sst_11,-0.2616232774172668,0.2333647167558261,-0.2584054089851153,5808,-0.43647475605314556,-0.07576354710685948,0.500814332247557
Vip_5,-0.2544765080639031,0.17760502850242668,-0.26516435726911924,1634,-0.3792252968100832,-0.12134223212517603,0.513152220784821
Sst_24,-0.27604482767288463,0.16831477590913527,-0.2682037430152574,1021,-0.3824330523188538,-0.1527736221551111,0.3190967108492881
Sst_16,-0.3145003435662766,0.21735711696141763,-0.2789319517233716,1086,-0.3861770631449719,-0.17076602079788997,0.4500381388253242
Sst_35,-0.3139596259026303,0.20708371471592482,-0.2841399950563504,517,-0.3872058278212577,-0.1951721754686274,0.3460410557184751
Pvalb_9,-0.2757249478847054,0.22105902215121662,-0.2842082971471068,179,-0.39351305892322497,-0.1154131734220921,0.2349869451697128
Pax6_3,-0.42295392903714524,0.23833621009448702,-0.304631472988497,644,-0.5574333834040652,-0.23884422558246732,0.5311614730878187
Vip_28,-0.2192106374837376,0.243983411557875,-0.3092023052958491,175,-0.4149840549992646,-0.02239658677788385,0.2834008097165992
Vip_9,-0.33143455491217994,0.1594347329611355,-0.3151716882342599,1037,-0.4349436638181164,-0.2123999979589371,0.5999235766144441
L4 IT_3,-0.37656377260383145,0.28986608280915993,-0.33033052664439294,10,-0.469887637538471,-0.13905123716591833,0.5555555555555556
L6 IT_2,-0.340206154395849,0.24476039147951506,-0.3385215046523553,36385,-0.5368759898463809,-0.1579601056010547,0.7055230033639113
Sncg_5,-0.3125980120980169,0.19141510386887764,-0.35635050119958184,1778,-0.4262519875618821,-0.18333255945850904,0.5353176366059529
Vip_22,-0.37870078520725925,0.1783268640113231,-0.3581654731417389,25,-0.4213705574046103,-0.2282743304055239,0.1515151515151515
Vip_13,-0.32153068588127437,0.19732398584284028,-0.36189591122517356,600,-0.45539051859512186,-0.18507841724225232,0.2818302387267904
Sst_12,-0.3804317462563594,0.17196384111717186,-0.3874957234835654,982,-0.5230648892750945,-0.28226679250614767,0.2283907238229093
L4 IT_5,-0.40572322183530873,0.16153748482234231,-0.4120491543205202,13150,-0.5021339500185671,-0.27816635045975785,0.583100359445427
L5 IT_4,-0.37053842737095083,0.22084275298276765,-0.41298746075744364,54,-0.5046966345690982,-0.1807142519394438,0.099009900990099
Lamp5_4,-0.3978839291984086,0.18581674117590666,-0.4171370410341047,7097,-0.5346693748948493,-0.2548742471050941,0.6221061379555978
Vip_18,-0.45702137661595266,0.1694970297901377,-0.42627522528846246,1230,-0.5783067892626762,-0.3371353208262444,0.3553866785873938
Vip_6,-0.5146819391667999,0.1572370821824899,-0.47233585279888424,998,-0.6603036600884056,-0.3988757964879326,0.5243261012491782
L5 IT_2,-0.45480885258389137,0.22428767219472714,-0.4764364688035961,45327,-0.6439020381141722,-0.26955051492594345,0.7816773508108225
L6 CT_3,-0.43585504674855613,0.22697269199635722,-0.48507522203141673,16710,-0.6397571202155192,-0.248197469068082,0.7719792117799913
L2/3 IT_2,-0.5123359249273592,0.14864364723497697,-0.5113161875338753,69,-0.598567054638414,-0.4071069481721723,0.1298701298701298
L6 CT_2,-0.4853743082848248,0.18396274982893945,-0.5138443975749013,29,-0.6415477921676094,-0.3434684119949833,0.273972602739726
L6b_2,-0.4984769693084167,0.11612819430586294,-0.5169916704037717,9343,-0.5676614919776406,-0.4227248614088785,0.8120067364527953
Vip_29,-0.561263031081134,0.20266936459941506,-0.5211287609825872,46,-0.7999803981483905,-0.37952853582196894,0.3191489361702128
L2/3 IT_5,-0.5429002853117312,0.14957386616150747,-0.5354638367536122,2797,-0.592036252816956,-0.469269153508716,0.3305728088336784
Sst_27,-0.5375242871764232,0.09219476904048857,-0.5386353870223359,892,-0.6083521220556333,-0.48286741864264343,0.28035413153457
Oligo_4,-0.5562852488202154,0.1412231834798656,-0.554551061763079,21563,-0.6735889781264377,-0.44867322409392696,0.9346574838147744
L2/3 IT_6,-0.5295811999690254,0.20643306351473698,-0.5626796258852864,105133,-0.691196014867903,-0.4088101139230286,0.8036703630248235
L5/6 NP_1,-0.5521500622172267,0.1240873248684661,-0.574728967438112,9300,-0.6485322921503562,-0.46089038227340645,0.857092156630782
Astro_1,-0.5686375332836355,0.14699717189859549,-0.5874611271782929,10554,-0.6957921042047147,-0.4541785296552737,0.8747870174126252
Pvalb_6,-0.5716377417728719,0.1612923133135265,-0.5897815303255598,25774,-0.7076335106747347,-0.45577108661961585,0.7372863791381682
Pvalb_4,-0.6250671798348895,0.13045824212835563,-0.6233792968966684,4103,-0.7115406978421323,-0.5366751408407537,0.4711501226281141
Vip_16,-0.6524215096675999,0.1306378626373103,-0.6613913145748427,730,-0.779131987939528,-0.5472453740442693,0.4110012360939431
