clusterName,gene
L6b_5,HPCAL1
L2/3 IT_4,FAP
L2/3 IT_4,SYT2
L2/3 IT_4,COL5A2
L2/3 IT_2,IGFBP2
L2/3 IT_2,SYT2
L2/3 IT_2,TESPA1
L2/3 IT_6,LINC00507
L2/3 IT_6,HPCAL1
L5 ET_3,ONECUT1
L5 ET_3,WNT6
L5 ET_3,BDKRB2
L5 ET_1,OR51E2
L5 ET_1,DDX60L
L5 IT_3,ARSJ
L5 IT_3,NEFM
L5 IT_3,HTR2A
L5 IT_4,RCSD1
L5 IT_4,XIST
L5 IT_4,LDLRAD3
L5 IT_4,SNCAIP
L5 IT_2,TLL1
L5 IT_2,ARSJ
L5 IT_2,LRRK1
L4 IT_5,COL22A1
L4 IT_5,ENSG00000223812
L5 IT_6,ARHGAP15
L5 IT_6,NPFFR2
L5 IT_6,COBLL1
L4 IT_1,SLC22A10
L4 IT_1,COBLL1
L2/3 IT_5,GPX3
L2/3 IT_5,VIPR2
L2/3 IT_5,SCRG1
L2/3 IT_1,PRSS12
L2/3 IT_1,VIPR2
L2/3 IT_1,LAMA2
L4 IT_3,TMEM215
L4 IT_3,MET
L4 IT_3,KCNH8
L2/3 IT_3,RREB1
L2/3 IT_3,BMPR1B
L2/3 IT_3,SYT2
Pvalb_6,SULF1
Pvalb_6,RNF144B
Pvalb_6,MYO5B
Pvalb_4,MT-ND4L
Pvalb_4,RGS5
Pvalb_4,CRHBP
Pvalb_8,CA8
Pvalb_8,LBH
Pvalb_8,ZNF385D-AS2
Pvalb_8,SULF1
Pvalb_9,PVALB
Pvalb_9,KCNC3
Pvalb_9,SYT2
Pvalb_9,VAMP1
Chandelier_1,COL15A1
Chandelier_1,CA8
L5/6 NP_4,SPATA22
L5/6 NP_4,WNT5B
L5/6 NP_4,CLMN
L5/6 NP_4,MKX
L5/6 NP_4,HTR2C
L5 ET_2,ST8SIA2
L5 ET_2,CHST8
L5 ET_2,LRP2
L6 CT_3,SULF1
L6 CT_3,SEMA3E
L6 CT_2,NPY2R
L6 CT_2,SYT6
L6 CT_2,ITGA11
L6 CT_2,GASK1B
L6 CT_1,LGR6
L6 CT_1,VWA2
L6 CT_1,SEMA3D
L6b_3,SCUBE1
L6b_3,KCNK13
L6b_3,CACNG5
L5/6 NP_2,PRELP
L5/6 NP_2,SLC17A6
L5/6 NP_2,NEFH
L5/6 NP_6,HCRTR2
L5/6 NP_6,NWD2
