CrossArea_cluster,mean_silhouette,std_silhouette,median_silhouette,count
Sst_22,-0.020815525878407716,0.3171826771122952,0.04705360521241019,5548
Sst_23,0.12680681402387514,0.2533449232394385,0.19195162116079478,666
Sst_24,-0.27604482767288463,0.16831477590913527,-0.2682037430152574,1021
Sst_25,-0.07823610230421167,0.2895956357873014,-0.045310985543444135,1805
Sst_26,-0.18058446517132243,0.24481466064521193,-0.12888753489842542,905
Sst_27,-0.5375242871764232,0.09219476904048857,-0.5386353870223359,892
Sst_28,0.15146310891343115,0.32997656558180266,0.25983386507867134,1580
Sst_29,-0.21728477426966716,0.22242858830869067,-0.21235524728156463,726
Sst_3,0.3910887526674916,0.14808733604235855,0.4334040746791575,7
Sst_30,-0.1783247140675391,0.1539377028760683,-0.18450706909340883,2689
Sst_31,-0.037368103823655054,0.22927181460010804,-0.0007253567206084003,554
Sst_32,-8.078973895835798e-05,0.26215404630374817,0.019081108725614648,426
Sst_33,0.21429108342235453,0.22273758466848476,0.2697645300218291,1760
Sst_35,-0.3139596259026304,0.20708371471592482,-0.2841399950563504,517
Sst_36,0.4295372741981912,0.26000461444161277,0.5463915048595397,454
Sst_37,-0.14886572390888686,0.2777412932577713,-0.02720235352517551,454
Sst_4,-0.23087730433639067,0.19208034563743215,-0.16813947615178412,394
Sst_5,0.1902258559013561,0.23984922051591107,0.26370853561504215,260
Sst_6,0.2975196679922448,0.12112266738464052,0.3328184208049803,7
Sst_7,-0.1456574238319145,0.33427979672616226,-0.07006426530978187,1263
Sst_8,-0.02938731504261375,0.3087132361504925,-0.0005677168760572562,3608
Sst_9,-0.15241096204868188,0.3066964551966212,-0.11275772241228765,1192
VLMC_1,0.43381213094357707,0.34389476088526855,0.6199996278359887,87
VLMC_2,0.47653061405130304,0.2858960993828341,0.5762560637120109,284
Vip_1,-0.23485742778064037,0.2470871009084059,-0.23184819097841664,4877
Vip_10,0.1264832747585014,0.3217427731949417,0.23947666240293386,792
Vip_11,-0.12686519335030783,0.25492989585659204,-0.12855778813544863,2811
Vip_12,0.60715031627768,0.20356472423709285,0.6721343495617538,485
Vip_13,-0.32153068588127437,0.19732398584284028,-0.3618959112251736,600
Vip_14,-0.17819036478052858,0.3546095351753004,-0.09085421817747114,706
Vip_15,0.4058446119689795,0.2775381305553141,0.5155016375232752,723
Vip_16,-0.6524215096675999,0.1306378626373103,-0.6613913145748427,730
Vip_17,-0.24538774988307735,0.199349549861346,-0.24030493357132915,716
Vip_18,-0.45702137661595266,0.1694970297901377,-0.4262752252884625,1230
Vip_19,0.22515859736112237,0.28525342253738517,0.32722178808828706,1742
Vip_2,-0.030058914239540577,0.3093734432070506,-0.02023359225589632,1289
Vip_20,0.12363583637064321,0.26706077813577445,0.1897939150780848,923
Vip_21,0.450506340070403,0.2063885104721313,0.5120298056483847,530
Vip_22,-0.37870078520725925,0.1783268640113231,-0.35816547314173897,25
Vip_23,0.35335607390232926,0.2604613346745644,0.42299561088035176,1826
Vip_24,-0.2302660897374018,0.25968550531551604,-0.2072705099583127,304
Vip_25,0.005709134634827441,0.31008094228254185,0.07459026809155414,2520
Vip_26,0.050269138641053146,0.2826940207237304,0.15480552037833623,344
Vip_27,0.28656587039522813,0.25422577526526274,0.3536138680104433,257
Vip_28,-0.21921063748373765,0.24398341155787495,-0.3092023052958491,175
Vip_29,-0.561263031081134,0.20266936459941506,-0.5211287609825872,46
Vip_3,-0.09888680305342631,0.2971927942752736,-0.07439356093009325,1765
Vip_4,0.1795903395712903,0.2971554028122428,0.2786969728637897,2279
Vip_5,-0.2544765080639031,0.1776050285024267,-0.26516435726911924,1634
Vip_6,-0.5146819391668,0.1572370821824899,-0.47233585279888424,998
Vip_7,0.2292709004791397,0.28165379266644713,0.3143638465752117,760
Vip_8,0.05841923925954097,0.3986523107191947,0.21388971817925861,975
Vip_9,-0.33143455491217994,0.15943473296113547,-0.31517168823425995,1037
