,Airway smooth muscle cell,Alveolar fibroblast 1,Alveolar fibroblast 2,Alveolar macrophage,Alveolar type 1 cell,Alveolar type 2 cell,Arterial endothelial cell,B cell,Basal cell,CD4+ T cell,CD8+ T cell,Capillary 1 cell,Capillary 2 cell,Chondrocyte,Ciliated cell,Classical DC subset 1,Classical DC subset 2,Deuterosomal cell,Goblet cell,Inflammatory monocyte,Innate lymphoid cell,Interstitial macrophage,Ionocyte,Lymphatic endothelial cell,Mast/Basophil,Mature DC subset,Megakaryocyte/Platelet,Mesothelial cell,Mucous cell,Myoepithelial cell,Natural killer cell,Neutrophil,Patrolling monocyte,Pericyte,Plasma cell,Plasmacytoid DC,Pulmonary neuroendocrine cell,Respiratory airway secretory cell,SMG Basal/Duct cell,Secondary crest myofibroblast,Secretory cell,Serous cell,Suprabasal cell,Systemic venous endothelial cell,T regulatory cell,Tuft cell,Vascular smooth muscle cell,Venous endothelial cell
RPLP2,2.3260942,1.7210355,2.9690506,3.025414,1.8245828,3.238072,3.2112277,3.6490362,3.317884,3.7724724,3.6834836,2.5488553,2.185927,3.0965636,2.359587,3.5721548,3.404828,2.812521,2.823228,3.4686656,3.6873014,3.0492783,2.329114,3.1084268,3.2535007,3.090481,0.0,3.2360203,3.0098042,3.0787585,3.3654194,0.0,3.2354307,2.562663,2.038623,3.6361046,2.7485447,3.426877,2.9590657,3.0047474,2.8478906,2.83927,3.316434,3.3474073,3.2062907,3.18863,2.8640165,3.0266051
PNPLA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50074303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51315665,0.0,0.0,0.0,0.12999389,0.0,0.0,0.0,0.0,0.0
CRACR2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5903703,0.7043319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89406836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852058,0.0,0.0,0.26729524,0.0,0.0,0.0,0.2079842,0.0,0.0
CD151,1.5766609,0.0,0.6968173,0.85361403,1.656833,0.61827534,1.4716157,0.0,0.7021291,0.0,0.0,0.0,0.94093597,1.5393721,0.0,0.0,0.0,0.0,0.80085564,0.0,0.0,0.0,0.7184148,1.4869279,0.0,0.0,0.0,1.0117812,1.2180138,2.0794146,0.0,0.0,0.0,1.5506874,0.0,0.0,0.0,0.5896058,1.3139877,0.0,0.49042588,0.14785314,0.70872456,1.1118865,0.0,0.5789103,1.9214569,1.2550893
POLR2L,0.93984157,0.0,1.585676,1.3042499,0.0,1.7969868,1.1724906,0.0,1.607092,0.0,1.1281271,0.0,1.2377038,1.6256326,1.5910544,0.64954114,0.9131675,2.0845163,1.6625798,1.1659496,0.0,0.6760707,1.3788233,2.027471,0.0,0.60727435,0.0,1.468649,1.1992466,1.393204,0.0,0.0,0.5274973,0.0,0.0,1.0727633,1.8429133,1.6216123,1.3539026,0.0,1.3207209,1.2063819,1.5223619,1.8108544,0.99660265,1.2720664,1.2293378,1.3856946
TSPAN4,0.0,0.0,0.6455324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586283,0.0,0.8110344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27720112,0.0,0.0,0.0,0.0
CHID1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22068848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23745805,0.28602716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46323436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42476213,0.0,0.0,0.0,0.24798168,0.0,0.0,0.17423007,0.0,0.0
MUC5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3319435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5711255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2229757,0.0,0.79728746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOLLIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18967222,0.0,0.0,0.0,0.0,0.0
MOB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18622878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
