celltype_level3_fullname,mean,std,median,count,q1,q3,f_score
Alveolar fibroblast 2,0.4676354594977989,0.17590483257977213,0.5341865886518196,2537,0.4176594442911085,0.5880644028304618,0.829669639492526
Inflammatory monocyte,0.4405846080528261,0.23555144516210594,0.527742508241833,17902,0.35295176210495544,0.6048916387674761,0.8080836845502525
CD8+ T cell,0.42404907052415214,0.22055524637404467,0.4959548120047443,3437,0.4232200459437049,0.5377760512568371,0.8400440790031364
Tuft cell,0.2942800957992054,0.39075457073167746,0.4518806146572202,84,0.37534408293872157,0.46502404569518796,0.7589285714285714
Suprabasal cell,0.2948670384865193,0.31437494683922895,0.41171849955762435,19286,0.16571369271084332,0.5238555298263479,0.7551362293212964
Ciliated cell,0.3333232867109381,0.17437679414458748,0.3801041640622059,13217,0.2543488233061918,0.4700780975820125,0.9479360028286042
T regulatory cell,0.17353008184343255,0.3157938831038129,0.3507431691404327,252,-0.07199696186839832,0.42139533349753105,0.6066176470588235
Neutrophil,-0.10625721091987642,0.31240465327006584,0.02089881968862,231,0.00443164914117855,0.026638673733914903,0.8227848101265823
CD4+ T cell,-0.009584915031633024,0.1310610088565848,-0.0320011745329987,5629,-0.1098275138559358,0.1134499259784331,0.5490513772016934
Innate lymphoid cell,-0.39337671537012564,0.1316245151574185,-0.40757327215722666,14,-0.4744401346724208,-0.33212802150573795,0.3846153846153846
Chondrocyte,-0.943298284075504,0.007934213709230111,-0.9396853276002872,5,-0.9456832996335498,-0.9377200775617366,0.8823529411764706
