,Airway smooth muscle cell,Alveolar fibroblast 1,Alveolar fibroblast 2,Alveolar macrophage,Alveolar type 1 cell,Alveolar type 2 cell,Arterial endothelial cell,B cell,Basal cell,CD4+ T cell,CD8+ T cell,Capillary 1 cell,Capillary 2 cell,Chondrocyte,Ciliated cell,Classical DC subset 1,Classical DC subset 2,Deuterosomal cell,Goblet cell,Inflammatory monocyte,Innate lymphoid cell,Interstitial macrophage,Ionocyte,Lymphatic endothelial cell,Mast/Basophil,Mature DC subset,Megakaryocyte/Platelet,Mesothelial cell,Mucous cell,Myoepithelial cell,Natural killer cell,Neutrophil,Patrolling monocyte,Pericyte,Plasma cell,Plasmacytoid DC,Pulmonary neuroendocrine cell,Respiratory airway secretory cell,SMG Basal/Duct cell,Secondary crest myofibroblast,Secretory cell,Serous cell,Suprabasal cell,Systemic venous endothelial cell,T regulatory cell,Tuft cell,Vascular smooth muscle cell,Venous endothelial cell
ENSG00000156467,0.22327984647547944,0.0,0.17136160870815845,0.289562369914765,0.0,0.24688542650101034,0.18922201116034326,0.0,0.28411507352869564,0.20889970089526885,0.2819162315510689,0.0,0.0,0.3303129470094721,0.2343084304890734,0.18303479285950355,0.212701641498728,0.2219571128804633,0.22478908807673353,0.20733866285770497,0.20295420986540774,0.17415830936837703,0.3633720912831895,0.22394137433234682,0.25507223479291224,0.17117316291687337,0.16121321662943414,0.2888519611764461,0.2510772892769347,0.24145973870094786,0.20149131658229422,0.0,0.2793599354459884,0.0,0.14893617021276595,0.21846149956926386,0.35272609299801766,0.22324331009641607,0.23589637938966143,0.179267481286475,0.18254851407193123,0.19229846812309104,0.3160355357413596,0.28734718358263056,0.2762671024241346,0.32434865642101207,0.29360512342858824,0.19201384579881708
ENSG00000169439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9710909952508643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9361702127659575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9635832018040597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9522776109106997,0.0
ENSG00000147649,0.0,0.0,0.4879076937411694,0.5148736479434561,0.0,0.44901092889461114,0.45016914352457577,0.0,0.4797800081841489,0.0,0.0,0.0,0.0,0.0,0.41520288396388927,0.5253301186764494,0.5367137066861416,0.410492035936802,0.44998454920789027,0.42330286731111244,0.0,0.4597422290355601,0.6534332772518726,0.4692801617561503,0.0,0.0,0.0,0.44570134548430745,0.45607978105545044,0.43391030012293064,0.0,0.0,0.4353207070776757,0.5261516685181475,0.40425531914893614,0.5944451448765207,0.0,0.0,0.4705074480239381,0.47460737634212413,0.40451144918482357,0.0,0.4907801721958404,0.0,0.4350360099305498,0.48197128037188913,0.4549900546987006,0.41385653424770275
ENSG00000104341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9194320161291893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9573061098443701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285993335094858,0.0,0.0,0.0,0.9148936170212766,0.0,0.0,0.94051563866595,0.0,0.0
ENSG00000156482,0.1369714191619386,0.06839923148459577,0.12128462309532977,0.1409916192927259,0.0,0.2036129870313279,0.20058347443316846,0.0561651866486732,0.30130054722441,0.11170303314290148,0.33801874581803665,0.10526908458547389,0.08057723654077407,0.2289680914675936,0.10740763202626655,0.07354944944381714,0.08408454377600487,0.174080971707689,0.164664626121521,0.057657059202802945,0.2508566760002299,0.0425531914893617,0.12318743416603575,0.16516026537469092,0.2763964406987454,0.05559701361554734,0.0,0.15957055954222985,0.3037623002174053,0.3065333201530132,0.2008330340081073,0.12739023122381657,0.1651289754725517,0.1292600466849956,0.06071906140510072,0.26892456982998136,0.13262591082999048,0.17971026263338455,0.23932530271246077,0.2203021303136298,0.11646768006872624,0.18395721278292068,0.26531549971154395,0.28898289989917836,0.08937116506251883,0.2561578826701387,0.19323312855781394,0.17904912284080018
ENSG00000104375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164919,0.36517432649084863,0.0,0.2078327828265251,0.3083454167589228,0.0,0.28456450015940565,0.24768092657657378,0.0,0.2872081094599785,0.15637998378023188,0.23810034736673882,0.22248855042964855,0.20097670149295888,0.1629371313338584,0.35335155497206017,0.14944326877593994,0.1726897599849295,0.5000158320081994,0.29627944053487576,0.1554007720439992,0.0,0.1504356379204608,0.4289888232312304,0.27098739020367885,0.14949304372706312,0.15096563608088392,0.0,0.1746605748825885,0.18872962099440554,0.22307141917817136,0.17864362102873782,0.0,0.1635418432824155,0.19642328328274666,0.0,0.2105731101746255,0.4167797628869402,0.20587890579345378,0.23029028481625496,0.17831390462023147,0.15713114560918606,0.14893617021276595,0.3527045871349091,0.2710539825419162,0.20008108590511567,0.34198056510154234,0.31269409174614765,0.23734192518477745
ENSG00000132554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147669,0.0,0.0,0.0,0.8273219022345035,0.0,0.0,0.0,0.0,0.7557399742146755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7919448867757269,0.7947373352152236,0.0,0.0,0.0,0.8187087140184768,0.0,0.0,0.0,0.0,0.723404255319149,0.7613944500050647,0.7602695391533223,0.0,0.0,0.0,0.0,0.0,0.0,0.8921542193027253,0.0,0.7783927575070807,0.0,0.7475196998170082,0.7310769304316095,0.7662737572446783,0.0,0.0,0.8015319578191067,0.0,0.0
ENSG00000104450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754233512472599,0.0,0.0,0.9750232645805846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
