gene,AEC,AF1,AF2,AM,ASMC,AT1,AT2,B,Basal,CAP1,CAP2,CD4 T,CD8 T,Chondrocyte,Ciliated,Deuterosomal,Goblet,ILC,IM,Ionocyte,LEC,MEC,Mast/Basophil,Megakaryocyte/Platelet,Mesothelial,Mucous,NK,Neutrophil,PNEC,Pericyte,Plasma,RAS,SCMF,SMG Basal/Duct,SVEC,Secretory,Serous,Suprabasal,Treg,Tuft,VEC,VSMC,cDC1,cDC2,iMON,maDC,pDC,pMON
ELF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9618010581457631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803930772706876,0.0,0.0,0.0,0.0
NDUFC1,0.5986655677875226,0.0,0.0,0.5889809355654629,0.0,0.0,0.6114462502235657,0.0,0.6519870804177198,0.0,0.0,0.0,0.0,0.0,0.7298831384239864,0.626059531977554,0.6520339748088512,0.0,0.0,0.7334919327229535,0.6086539276322217,0.6188963718346141,0.0,0.0,0.574468085106383,0.6548311791296937,0.0,0.0,0.7026845707024422,0.0,0.0,0.5831413649305232,0.0,0.6354010307116037,0.6021810420596527,0.5835801951991566,0.6058540646264278,0.6680859882829077,0.0,0.621262733347302,0.0,0.5972107948965768,0.0,0.0,0.0,0.0,0.0,0.0
SETD7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST2,0.7348356544169455,0.0,0.0,0.6449159471317516,0.0,0.0,0.0,0.0,0.6603740964095245,0.0,0.0,0.0,0.0,0.0,0.0,0.6890878003278832,0.6743628800561221,0.0,0.6545852029179444,0.614724957666472,0.7891405983747699,0.0,0.0,0.0,0.6112019460020192,0.6372536496427939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626626650824671,0.7597984559519688,0.0,0.5957446808510638,0.6921098728770527,0.0,0.6299480731945064,0.0,0.0,0.724430880532599,0.7235715758910655,0.7811491423189285,0.650630907088224,0.653619258064008,0.0
MAML3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SCOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8406466820500319,0.0,0.0,0.0,0.0,0.0,0.0,0.8415746797565604,0.8338489032736764,0.0,0.0,0.9045870220166944,0.0,0.879268882172645,0.0,0.0,0.0,0.8645034473577106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8575363448967754,0.0,0.0,0.0,0.8297872340425532,0.0,0.8478755352733884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZNF330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SMARCA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.8687831596060267,0.829979552534583,0.0,0.0,0.8852719009477709,0.0,0.8302334999595522,0.0,0.0,0.0,0.8379603750421559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8653079701574977,0.0,0.0,0.0,0.8336248634819136,0.0,0.8649898746128106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAPC10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9813392316373909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTUD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900514414393303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSM6,0.0,0.0,0.0,0.940294141553135,0.0,0.0,0.0,0.0,0.8884004313030162,0.0,0.0,0.0,0.0,0.0,0.0,0.8936191282631503,0.0,0.0,0.0,0.8784944741368572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8723404255319149,0.0,0.0,0.0,0.8786710581694768,0.0,0.0,0.0,0.0,0.922333345112644,0.0,0.0,0.0,0.0,0.0
TTC29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LRBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8882785406465071,0.9042865726474355,0.0,0.0,0.0,0.9245787557118281,0.0,0.0,0.0,0.0,0.0,0.8856364681252771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857877893009891,0.0,0.0,0.0,0.0,0.0,0.8723404255319149,0.0,0.0,0.9521159238603345,0.0,0.0,0.0,0.0,0.0
