gene,AEC,AF1,AF2,AM,ASMC,AT1,AT2,B,Basal,CAP1,CAP2,CD4 T,CD8 T,Chondrocyte,Ciliated,Deuterosomal,Goblet,ILC,IM,Ionocyte,LEC,MEC,Mast/Basophil,Megakaryocyte/Platelet,Mesothelial,Mucous,NK,Neutrophil,PNEC,Pericyte,Plasma,RAS,SCMF,SMG Basal/Duct,SVEC,Secretory,Serous,Suprabasal,Treg,Tuft,VEC,VSMC,cDC1,cDC2,iMON,maDC,pDC,pMON
CCDC149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396004403129835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC34A2,0.0,0.0,0.0,0.0,0.0,0.0,2.5453941444187556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835253267135842,0.0,0.3136462232356916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7105398155899812,0.0,0.9627827830151225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEL1L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.450473399831373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353830832780235,0.0,0.0,0.0,0.0,0.8225619430028707,0.0,0.0,0.3398547914216373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3865978562138337,0.0
SMIM20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17292685057736012,0.25309205874619733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28615692378573426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29814109281212486,0.0,0.0,0.0,0.18807824496372466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBPJ,0.0,0.0,0.5414042336620513,0.7914364215353276,0.0,0.0,0.0,0.0,0.5463447375615132,0.0,0.0,0.0,0.0,0.0,0.0,0.41121541586423893,0.4303109417451125,0.0,1.4732987305729146,0.6938312150552809,0.0,0.534833260506466,0.0,0.0,0.0,0.4240824660866224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5012909050599504,0.0,0.0,0.0,0.34421369774041194,0.0,0.6310533192420467,0.0,0.0,1.1878446748605334,1.2686111682554377,0.0,0.7313815995347198,0.0,0.0
STIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3313188620279459,0.0,0.0,0.0,0.0,0.0,0.0,0.5119548609087847,0.4861336371927013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466435180337405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16538975302998696,0.0,0.0,0.0,0.4484396055170516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARAP2,0.0,0.0,0.0,0.0,0.0,1.3104456174796704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287051851300639,0.0,0.0
DTHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.147940237027964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4orf19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23609720998662623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10262884718789542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8109649400059478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21634789336680005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
