celltype_level3,mean,std,median,count,q1,q3,f_score
MEC,0.603164811059191,0.3233291663775433,0.6795819419685226,669,0.6617621712982753,0.6878780829867572,0.8484848484848485
AF1,0.5920518055380174,0.1899812058023974,0.6792133802826712,5445,0.5182231506854789,0.7161870168542436,0.7845115721763259
NK,0.6055550394058751,0.20553585936385363,0.6760666986721999,8853,0.5893799127642757,0.7212433823726797,0.8812108500325955
CAP1,0.6270805764826257,0.18681648863331712,0.6739561413935606,15066,0.6008187631263098,0.7243342347505128,0.7964252116650988
IM,0.5794086971042139,0.21496709571217498,0.6589033350862303,6437,0.551618091505484,0.7029875804510674,0.6024062198513138
RAS,0.5832478677567158,0.20194076463025504,0.6584061829878972,4257,0.5509085828946894,0.6881177965091329,0.870294446515095
VSMC,0.5772634822053005,0.15671640340233392,0.6424954752277463,2916,0.5040845634460729,0.6844953954500428,0.7916817033561891
AM,0.5222287546341496,0.19441828687993182,0.5889679268404568,101380,0.4463561804066851,0.6640784104823239,0.9549814848227096
AT2,0.534433605195086,0.15643344544135035,0.5624534714080001,59053,0.4502001042239195,0.6537376000263065,0.965899568344252
Ionocyte,0.4670268793984311,0.32397386206179846,0.5519956339724281,159,0.5371308443683658,0.5553051319667277,0.937007874015748
AF2,0.4676044142536085,0.17822619949092414,0.5346305571533219,2670,0.41697220705117943,0.5905208376226084,0.8100594776312386
iMON,0.4412363160792623,0.23542720402127287,0.527956498869821,17999,0.3546010715274577,0.6052763082150558,0.8039009465532078
CD8 T,0.4315578344318997,0.21068917964212752,0.4963614756701246,3443,0.42363489645510166,0.5381205757336021,0.8394716789433578
Suprabasal,0.3046780493176801,0.3126129960912041,0.4204367128718916,20167,0.18020002280509934,0.5302824094082772,0.7825585585585586
Tuft,0.2531460323429435,0.3937911106837888,0.41657347936524874,88,0.3341875111110878,0.43083577846422233,0.7627118644067796
Ciliated,0.3356270233813431,0.17549417161712286,0.38277033953061457,13410,0.25610594034360246,0.47320441829934173,0.955840167392258
Treg,0.17325359185204292,0.3157082922407266,0.35041104696627523,252,-0.07264560770034674,0.42118891762758914,0.6066176470588235
Neutrophil,-0.0632077225738305,0.32197231787589936,0.06556790178605225,246,0.049701276930440574,0.07118505589716928,0.8130841121495327
CD4 T,-0.009163939312057286,0.13087242545301692,-0.0314079565869526,5641,-0.109329063177006,0.1138176177718306,0.631983879831471
Megakaryocyte/Platelet,-0.21465160600887345,0.3284246365086357,-0.0586294927951005,41,-0.0811843820102155,-0.0464135017658703,0.9393939393939394
ILC,-0.39352873108212405,0.13164212302758613,-0.40772365473426087,14,-0.4745027798935153,-0.3322124292528795,0.3846153846153846
Chondrocyte,-0.9385128722097392,0.013858366610174418,-0.936502849373139,6,-0.9472298479439691,-0.9269330952302999,0.9090909090909092
