CrossArea_cluster,mean_silhouette,std_silhouette,median_silhouette,count
Pvalb_5,0.13384830425891073,0.2737631839375212,0.21182776155179478,293
Pvalb_6,-0.563649501501947,0.16007485155111362,-0.5844197493592291,272
Pvalb_7,0.21397887695214532,0.22805366247478848,0.2717537057006823,13
Pvalb_8,0.10799898030765603,0.3144636516707598,0.21067157486507768,271
Pvalb_9,-0.2736864929297237,0.24414175924976553,-0.26727864723172595,103
Sncg_1,0.28389931318128275,0.20362285538964728,0.31910616103430955,234
Sncg_2,-0.1306530412297984,0.3176687048477404,-0.0650251451846476,265
Sncg_3,-0.04795605617823789,0.30881561752839376,0.04498116189967638,219
Sncg_4,-0.10246817022069711,0.23673755741418204,-0.11559477237586598,292
Sncg_5,-0.2573807889936765,0.19504326026975638,-0.32025661183054355,251
Sncg_6,-0.1067209035536568,0.2696929848880354,-0.08971624259511338,283
Sncg_7,0.025715550538736594,0.3373987149211833,0.14769100494335966,314
Sncg_8,0.3955817401826574,0.20319552219166073,0.4649222961659438,139
Sst Chodl_1,0.6606564807458446,0.3667230473802391,0.7546992699309794,320
Sst_1,-0.22107440329907316,0.1974037936759606,-0.225514083557695,261
Sst_10,-0.07773833359139601,0.21780066858188946,-0.027111971357300004,280
Sst_11,-0.280503562813008,0.21886597638555452,-0.278315340988071,284
Sst_12,-0.37259831657092746,0.18791790358526586,-0.4009162332152879,236
Sst_13,-0.0016365243741316394,0.30267340164804696,0.011805629962317613,265
Sst_14,-0.18280302866045767,0.2350856815526581,-0.05068866013054441,11
Sst_15,-0.028342748383039476,0.24838084278566472,-0.0021882900649614727,77
Sst_16,-0.38306867205706036,0.20694889546133147,-0.35315317546272984,260
Sst_17,0.04664126509055126,0.2236017314273252,0.0574073467655636,337
Sst_18,0.10377226551167783,0.28556358018342076,0.17763155191239435,214
Sst_19,0.5650733394479308,0.30280502725888747,0.6384627744802059,295
Sst_2,0.26597238935471823,0.31893112748052516,0.406792791136918,264
Sst_21,-0.06030524464706652,0.20569071581161333,-0.04402864753248951,299
Sst_22,-0.07303625529869127,0.32492852415641094,-0.008916414629830501,296
Sst_23,0.13974358088129057,0.2531084582725661,0.19790092538890564,200
Sst_24,-0.2817969193862832,0.1678697791044599,-0.27061581660403033,342
Sst_25,-0.049442845270793734,0.26794814009194323,-0.05972393746702029,129
Sst_26,-0.18597194604460968,0.22516138726233953,-0.14635445508789413,306
Sst_27,-0.5364875637298575,0.10018171091353024,-0.5465145063396346,316
Sst_28,0.15120528952383272,0.33537758902758946,0.2636885282844237,274
Sst_29,-0.24313738773804436,0.209738942230562,-0.25160266003544957,251
Sst_3,0.39074810355452677,0.15042868838627427,0.4339367516606177,7
Sst_30,-0.18848732405708096,0.15328739412210407,-0.20868085129748393,319
Sst_31,-0.06473300709659165,0.22164295443334744,-0.040081704848977044,206
Sst_32,-0.04408762669430359,0.25672309457096654,-0.02699938176089897,176
Sst_33,0.1939352541876714,0.22513966028619947,0.25174914171094187,249
Sst_35,-0.27186754142631875,0.21888806615060197,-0.25150682645095207,288
Sst_36,0.4763279383310592,0.23970933905943112,0.5884851096973176,316
Sst_37,-0.18436479313804063,0.27434344511260855,-0.05378890871283912,360
Sst_4,-0.22833973514310613,0.19509334944880025,-0.17462560128471963,394
Sst_5,0.18928597632440328,0.23102560533840266,0.2606818316489617,260
Sst_6,0.3221787515939728,0.13640120878153647,0.36777600571391506,7
Sst_7,-0.05498639053787785,0.3765168068636763,0.07874759218595745,238
Sst_8,-0.04424263284872726,0.32516846544190453,0.0018642067137223817,184
Sst_9,-0.12802539341978472,0.3114700030027218,-0.03136445292829491,244
VLMC_1,0.43382918025538847,0.34388143439816427,0.6199996278359887,87
VLMC_2,0.47947705649336825,0.28708361329992693,0.575835149189298,222
Vip_1,-0.20128680826301482,0.2613757951855256,-0.19168417520909053,201
Vip_10,0.07845780521455487,0.32929105590963753,0.1842108012244719,265
Vip_11,-0.07151871275150681,0.3003749517701521,0.001531583003169437,242
Vip_12,0.6239236996623754,0.21717877050543508,0.6897538110523792,192
Vip_13,-0.32505447537620386,0.17174742557479825,-0.34396216375469446,251
Vip_14,-0.13619217104871578,0.3654914773087964,0.010410119269122239,292
Vip_15,0.40099546166263295,0.29559470583101266,0.532258344313387,295
Vip_16,-0.6583726731694046,0.1294869256550209,-0.6623873078915782,307
Vip_17,-0.273401350511527,0.19537847631981775,-0.28816972189274964,301
Vip_18,-0.46659244843717285,0.16829443933221372,-0.4291670855624466,285
Vip_19,0.23609882933894216,0.2863415505832587,0.3514928052993959,239
Vip_2,-0.09255555611896782,0.2834615134519063,-0.12284907244870882,236
Vip_20,0.11234891180619108,0.27627719413420676,0.18214901197190314,236
Vip_21,0.3847670508966253,0.222940183270779,0.45114156262147037,261
Vip_22,-0.46350091197257404,0.15795173012842328,-0.4020655971359041,11
Vip_23,0.3749339819039836,0.2540147123545973,0.45423445321733563,223
Vip_24,-0.2687047654166456,0.25280019690125105,-0.25357903488652916,201
Vip_25,0.02157236860134509,0.32525410414381123,0.10431593021808212,249
Vip_26,0.06479151612694449,0.27410017058100644,0.147630319686088,282
Vip_27,0.2825787609943604,0.2603200323169208,0.36076322050100745,257
Vip_28,-0.2189268227421166,0.2495863652948744,-0.30308539566089665,175
Vip_29,-0.5726601787590547,0.1858472497914899,-0.507646545765046,46
Vip_3,-0.11454270938677014,0.3034637915875145,-0.11972953347601151,270
Vip_4,0.14807974345409136,0.31145690934374015,0.26805911075032496,265
Vip_5,-0.25148593090412985,0.1825855120008938,-0.2770913270940397,242
