software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,CrossArea_cluster,Sst_14,11,0.4347826086956521,0.6666666666666666,0.1818181818181818,34394,1,9,2,2,"['PKHD1', 'RRBP1']","['PKHD1', 'RRBP1', 'LINC01482', 'EPSTI1', 'DPYS', 'DPP4', 'XKR9', 'ROR1', 'EYS', 'ARHGAP10']",1.0
4.1,CrossArea_cluster,Sst_7,238,0.450530035335689,0.6219512195121951,0.2142857142857142,34137,31,187,51,3,"['EPSTI1', 'PIEZO2', 'EYA4']","['EPSTI1', 'PIEZO2', 'EYA4', 'HPSE2', 'EYS', 'ROR1', 'PPARG', 'MYO5B', 'RNF144B', 'TANC1']",0.0790405794978141
4.1,CrossArea_cluster,Sst_4,394,0.5594679186228482,0.6470588235294118,0.3629441624365482,33934,78,251,143,3,"['SCARA5', 'PIEZO2', 'KLHL13']","['SCARA5', 'TRPC7', 'RSPO3', 'PIEZO2', 'KLHL13', 'ITGA1', 'CRYBG3', 'SPON1', 'SEMA3A', 'ANKFN1']",0.079633355140686
4.1,CrossArea_cluster,Sst_35,288,0.4954268292682927,0.7065217391304348,0.2256944444444444,34091,27,223,65,3,"['ENPP1', 'ACVR1C', 'EYA2']","['ENPP1', 'ACVR1C', 'EYA2', 'LAMA4', 'LPAR1', 'FAM89A', 'TRIM67', 'TAC1', 'ADAMTSL1', 'ETV1']",0.2466602623462677
4.1,CrossArea_cluster,Sst_5,260,0.5220883534136547,0.5652173913043478,0.4,34066,80,156,104,3,"['NPY', 'CALB1', 'STK32B']","['SH3RF2', 'NPY', 'ADAMTS12', 'CALB1', 'STK32B', 'ADAM12', 'CBLN4', 'ARHGAP24', 'CRYBG3', 'GULP1']",0.1121115237474441
4.1,CrossArea_cluster,Sst_25,129,0.4377104377104377,0.6190476190476191,0.2015503875968992,34261,16,103,26,3,"['MSR1', 'PENK', 'CALB1']","['MSR1', 'AOX1', 'HPGD', 'PENK', 'PLD1', 'CALB1', 'STK32B', 'EYA4', 'CBLN4', 'ARHGAP10']",0.1750377714633941
4.1,CrossArea_cluster,Sst_12,236,0.3839869281045752,0.5,0.1991525423728813,34123,47,189,47,3,"['CBLN4', 'SLC24A4', 'EYS']","['CALB1', 'CBLN4', 'CRYBG3', 'COL6A1', 'SLC24A4', 'EYS', 'ARHGAP10', 'SNED1', 'COL25A1', 'RSPO2']",0.0382029712200164
4.1,CrossArea_cluster,Sst_37,360,0.5405405405405406,0.8421052631578947,0.2222222222222222,34031,15,280,80,3,"['PROM1', 'ADGRG6', 'CRHBP']","['SCARA5', 'NHSL2', 'PROM1', 'ADGRG6', 'RSPO3', 'CRHBP', 'FGF1', 'EYS', 'PNOC', 'SST']",0.1370111852884292
4.1,CrossArea_cluster,Sst_6,7,0.3703703703703703,0.4,0.2857142857142857,34396,3,5,2,4,"['PRDM1', 'STRIP2', 'RSPO3', 'OPRD1']","['PRDM1', 'DPYS', 'STRIP2', 'RSPO3', 'LINC00535', 'OPRD1', 'COX5A', 'EYS', 'PPARG', 'RTL8C']",0.1103220582008361
4.1,CrossArea_cluster,Lamp5_3,231,0.5666003976143141,0.8382352941176471,0.2467532467532467,34164,11,174,57,2,"['CA2', 'CPLX3']","['AARD', 'DUSP4', 'CA2', 'CPLX3', 'LAMP5', 'KIT', 'HPCAL1', 'HSBP1', 'PMEPA1', 'PCP4L1']",0.1608512997627258
4.1,CrossArea_cluster,Sst_26,306,0.2504244482173174,0.2706422018348624,0.1928104575163398,33941,159,247,59,3,"['MME', 'FBN2', 'MCUB']","['MME', 'MAFB', 'FBN2', 'ARHGAP6', 'MCUB', 'AHR', 'SLC24A4', 'ADAMTSL1', 'CUX2', 'MT-ND5']",0.0449923649430274
4.1,CrossArea_cluster,Sst_30,319,0.4772991850989522,0.6074074074074074,0.2570532915360501,34034,53,237,82,3,"['PENK', 'MME', 'HTR2C']","['PENK', 'MME', 'NOTCH2', 'GPR161', 'INSYN2B', 'HTR2C', 'FBN2', 'MCUB', 'ADAMTSL1', 'CUX2']",0.1811771094799041
4.1,CrossArea_cluster,Sst_32,176,0.3771551724137931,0.4861111111111111,0.1988636363636363,34193,37,141,35,3,"['HPGD', 'PENK', 'EYA2']","['HPGD', 'PENK', 'CALB1', 'EYA2', 'STK32B', 'ANOS1', 'NOTCH2', 'MKX', 'CBLN4', 'SLC24A4']",0.1664127856492996
4.1,CrossArea_cluster,Sst_21,299,0.4965986394557823,0.6697247706422018,0.2441471571906354,34071,36,226,73,4,"['ANGPT1', 'COL24A1', 'FBN2', 'ARHGAP6']","['STK32B', 'NOTCH2', 'ANGPT1', 'COL24A1', 'FBN2', 'ARHGAP6', 'MCUB', 'ADAMTSL1', 'MYO1B', 'CDH6']",0.0480080917477607
4.1,CrossArea_cluster,Sst_17,337,0.397404703974047,0.4375,0.2908011869436201,33943,126,239,98,3,"['OTOF', 'PROM1', 'TAC1']","['OTOF', 'MME', 'PROM1', 'SLC9A2', 'ARHGAP6', 'TAC1', 'SLC24A4', 'CHN2', 'MMP17', 'TOX']",0.1510325819253921
4.1,CrossArea_cluster,Sst_11,284,0.3612385321100917,0.4285714285714285,0.2218309859154929,34038,84,221,63,3,"['ADGRG6', 'EYS', 'RELN']","['ADGRG6', 'SYT9', 'SLC9A2', 'ROR1', 'EYS', 'RELN', 'ARHGEF28', 'COL25A1', 'FRMD4B', 'CDH7']",0.0399662666022777
4.1,CrossArea_cluster,Sst_10,280,0.2741935483870967,0.4,0.1214285714285714,34075,51,246,34,3,"['MME', 'PROM1', 'NOS1']","['MME', 'PROM1', 'NOS1', 'NMU', 'PTPRU', 'MAFB', 'HPSE2', 'EYS', 'SLC24A4', 'CUX2']",0.1493574380874633
4.1,CrossArea_cluster,Sst_27,316,0.383254716981132,0.4887218045112781,0.2056962025316455,34022,68,251,65,4,"['EDNRA', 'FREM1', 'MT-ND5', 'EFHD2']","['EDNRA', 'MAFB', 'FREM1', 'MT-ND5', 'EFHD2', 'SPHKAP', 'PRKG2', 'FLT3', 'ALDOC', 'NIPAL3']",0.0318221263587474
4.1,CrossArea_cluster,Sst_9,244,0.3275401069518716,0.3888888888888889,0.2008196721311475,34085,77,195,49,3,"['RAB31', 'ARHGAP6', 'FREM1']","['GXYLT2', 'EDNRA', 'RAB31', 'ANXA4', 'ARHGAP6', 'FREM1', 'FBXL7', 'TANC1', 'RNF144B', 'ADAMTSL3']",0.0438839383423328
4.1,CrossArea_cluster,Sst_8,184,0.4352678571428571,0.5909090909090909,0.2119565217391304,34195,27,145,39,3,"['STK32A', 'EDNRA', 'RELN']","['STK32A', 'ADGRG6', 'SYT9', 'EDNRA', 'MAFB', 'RELN', 'BICC1', 'CBLN2', 'TOX', 'PCDH15']",0.0703814178705215
4.1,CrossArea_cluster,Sst_16,260,0.5689655172413793,0.825,0.2538461538461538,34132,14,194,66,3,"['NPFFR2', 'LINC01630', 'VAV3']","['LIPC', 'NPFFR2', 'GFRA1', 'GASK1B', 'LINC01630', 'VAV3', 'DACH1', 'LYPD6', 'THSD7B', 'SEMA5A']",0.0742187276482582
4.1,CrossArea_cluster,Vip_29,46,0.4729729729729729,1.0,0.1521739130434782,34360,0,39,7,5,"['KLHDC8A', 'RGS8', 'IQGAP2', 'TAC1', 'MYO5B']","['NOX4', 'KLHDC8A', 'RGS8', 'IQGAP2', 'TAC1', 'MYO5B', 'CUX2', 'TANC1', 'CMTM8', 'CLMP']",0.0524745434522628
4.1,CrossArea_cluster,Sst_36,316,0.5824372759856631,0.65,0.4113924050632911,34020,70,186,130,3,"['TRDN', 'HGF', 'PARD3B']","['TRDN', 'WNT16', 'HGF', 'HTR7', 'PARD3B', 'ST8SIA4', 'SLC26A4', 'GPC5', 'PLCE1', 'IL12RB2']",0.1153368651866912
4.1,CrossArea_cluster,Sst_19,295,0.7568533969010727,0.9338235294117648,0.4305084745762711,34102,9,168,127,2,"['TH', 'EPB41L4A']","['TH', 'MINAR1', 'EPB41L4A', 'GPC5', 'GULP1', 'OCA2', 'RAB3B', 'MAML3', 'SEL1L3', 'SAMD5']",0.5281396508216858
4.1,CrossArea_cluster,Sst Chodl_1,320,0.8793969849246231,0.8805031446540881,0.875,34048,38,40,280,1,['NPY'],"['TENT5A', 'LINC01014', 'CHODL', 'NPY', 'NPY2R', 'STAC', 'NOS1', 'THSD4', 'CRHBP', 'TACR1']",0.6119937896728516
4.1,CrossArea_cluster,Chandelier_1,278,0.8485193621867881,0.9933333333333332,0.5359712230215827,34127,1,129,149,2,"['COL15A1', 'TAFA4']","['COL15A1', 'CA8', 'PLEKHH2', 'NPNT', 'UNC5B', 'TAFA4', 'MIR4500HG', 'GULP1', 'PLCXD3', 'PTPRK']",0.5536920428276062
4.1,CrossArea_cluster,Pvalb_3,205,0.5971479500891266,0.7528089887640449,0.3268292682926829,34179,22,138,67,4,"['TAFA4', 'SYT10', 'ANGPT1', 'NWD2']","['TAFA4', 'SYT10', 'ANOS1', 'ANGPT1', 'NWD2', 'HTR4', 'CUX2', 'GHR', 'TMEM132C', 'SLC9A9']",0.0639165192842483
4.1,CrossArea_cluster,Sst_31,206,0.4649122807017544,0.5824175824175825,0.2572815533980582,34162,38,153,53,3,"['CBLN4', 'RGS5_ENSG00000143248', 'MYO5B']","['FRZB', 'ANOS1', 'CBLN4', 'TACR1', 'RGS5_ENSG00000143248', 'MYO5B', 'TMEM132C', 'SLC9A9', 'ITPRID2', 'COL25A1']",0.050797950476408
4.1,CrossArea_cluster,Sst_24,342,0.4439746300211416,0.5562913907284768,0.2456140350877192,33997,67,258,84,3,"['NEDD4', 'NDST4', 'TAC1']","['NEDD4', 'NDST4', 'DKK2', 'NWD2', 'TAC1', 'SLC26A4', 'MYO5B', 'ARHGAP42', 'SVEP1', 'GHR']",0.0612388662993907
4.1,CrossArea_cluster,Sst_33,249,0.4486133768352365,0.6043956043956044,0.2208835341365461,34121,36,194,55,3,"['BMP6', 'HTR2C', 'CRYBG3']","['CALB1', 'ANOS1', 'BMP6', 'INSYN2B', 'HTR2C', 'CRYBG3', 'CUX2', 'CMTM8', 'PCDH8', 'ANKRD30B']",0.0517446063458919
4.1,CrossArea_cluster,Sst_22,296,0.4555084745762712,0.5308641975308642,0.2905405405405405,34034,76,210,86,3,"['TRPC6', 'FREM1', 'ITGA8']","['INSYN2B', 'EPB41L4A', 'TRPC6', 'FREM1', 'ITGA8', 'SPHKAP', 'PRKG2', 'GHR', 'PREX2', 'SAMD5']",0.0354561246931552
4.1,CrossArea_cluster,Sst_29,251,0.5038167938931297,0.6534653465346535,0.2629482071713147,34120,35,185,66,3,"['QRFPR', 'PIEZO2', 'EDNRA']","['ENPP1', 'SLCO4C1', 'B3GAT2', 'QRFPR', 'PIEZO2', 'EDNRA', 'FREM1', 'TRPC5', 'ARHGEF26-AS1', 'PPP4R4']",0.0756376683712005
4.1,CrossArea_cluster,Sst_18,214,0.3451178451178451,0.431578947368421,0.1915887850467289,34138,54,173,41,3,"['QRFPR', 'CRHBP', 'PNOC']","['SLCO4C1', 'QRFPR', 'ENOX2', 'CRHBP', 'PNOC', 'VAT1L', 'RELN', 'SST', 'BICC1', 'PTCHD1-AS']",0.0485154129564762
4.1,CrossArea_cluster,Sst_1,261,0.5025125628140703,0.7142857142857143,0.2298850574712643,34121,24,201,60,3,"['KLHL14', 'ANGPT1', 'EPB41L4A']","['KLHL14', 'NDST4', 'ANGPT1', 'VCAN', 'EPB41L4A', 'TRPC6', 'CMTM8', 'ADAMTS6', 'SEL1L3', 'COL25A1']",0.0548750460147857
4.1,CrossArea_cluster,Sst_3,7,0.6666666666666666,1.0,0.2857142857142857,34399,0,5,2,3,"['TCF7L1', 'FRK', 'HCRTR2']","['STAC', 'TCF7L1', 'FRK', 'ONECUT2', 'HCRTR2', 'FBN2', 'ZBBX', 'ADAMTSL1', 'CBLN2', 'NT5DC3']",0.2098715901374817
4.1,CrossArea_cluster,Sst_23,200,0.5017605633802817,0.6195652173913043,0.285,34171,35,143,57,3,"['HCRTR2', 'SPON1', 'TBL1X']","['NIBAN1', 'KLHL14', 'HCRTR2', 'SPON1', 'TBL1X', 'FBN2', 'FBXL7', 'CPNE8', 'THSD7B', 'CBLN2']",0.052909318357706
4.1,CrossArea_cluster,Sst_28,274,0.6264916467780429,0.7446808510638298,0.3832116788321167,34096,36,169,105,3,"['SLC17A8', 'NDST4', 'ITGA8']","['SLC17A8', 'QRFPR', 'KLHL1', 'NDST4', 'MIR4500HG', 'ITGA8', 'SPHKAP', 'GREB1L', 'THSD7B', 'COL25A1']",0.08163533359766
4.1,CrossArea_cluster,Sst_13,265,0.552665799739922,0.6746031746031746,0.320754716981132,34100,41,180,85,3,"['FBN2', 'GPR149', 'TRPC6']","['ADAMTS20', 'KLHL14', 'SPON1', 'FBN2', 'GPR149', 'TRPC6', 'NTNG1', 'PTPRK', 'SCN9A', 'BRINP3']",0.0391137115657329
4.1,CrossArea_cluster,Sst_2,264,0.5247641509433962,0.6095890410958904,0.3371212121212121,34085,57,175,89,2,"['ALDH1A3', 'HPGD']","['ALDH1A3', 'HPGD', 'FLT1', 'MOXD1', 'RGS5_ENSG00000143248', 'TAC1', 'FREM1', 'HTR4', 'RNF144B', 'MYO5B']",0.6635276079177856
4.1,CrossArea_cluster,Sst_15,77,0.373134328358209,0.4838709677419355,0.1948051948051948,34313,16,62,15,4,"['ABI3BP', 'ZBBX', 'TAC1', 'ARHGAP10']","['ABI3BP', 'PAPSS2', 'ZBBX', 'TAC1', 'ARHGAP10', 'PRKG2', 'VGF', 'ANKRD33B', 'CLMP', 'EEF2K']",0.0431315526366233
4.1,CrossArea_cluster,L6 IT Car3_2,156,0.6847826086956522,0.8289473684210527,0.4038461538461538,34237,13,93,63,2,"['NTNG2', 'NWD2']","['SMYD1', 'POSTN', 'NTNG2', 'NR4A2', 'THEMIS', 'NWD2', 'CA10', 'CADPS2', 'TRPC5', 'SATB2']",0.1355511844158172
4.1,CrossArea_cluster,L5 IT_2,255,0.5974842767295597,0.7037037037037037,0.3725490196078431,34111,40,160,95,4,"['TLL1', 'ARSJ', 'LRRK1', 'LDLRAD3']","['TRABD2A', 'TLL1', 'ARSJ', 'RORB', 'LRRK1', 'LDLRAD3', 'TAFA1', 'CADPS2', 'IL1RAPL2', 'CPNE4']",0.0755528584122657
4.1,CrossArea_cluster,L5 IT_6,164,0.7341269841269841,0.8705882352941177,0.4512195121951219,34231,11,90,74,3,"['TNNT2', 'TLL1', 'RXFP1']","['TNNT2', 'ARHGAP15', 'NPFFR2', 'TLL1', 'RXFP1', 'SULF2', 'FOXP2', 'HS3ST2', 'IL1RAPL2', 'CPNE4']",0.0832064449787139
4.1,CrossArea_cluster,L6 IT_2,301,0.6177606177606177,0.8067226890756303,0.3189368770764119,34082,23,205,96,3,"['LINC00343', 'ADAMTS3', 'PRRX1']","['LINC00343', 'TMEM233', 'ADAMTS3', 'THEMIS', 'MOXD1', 'PRRX1', 'LY86-AS1', 'RXFP1', 'FRMD6', 'ARHGEF28']",0.169126808643341
4.1,CrossArea_cluster,L2/3 IT_6,266,0.5362537764350453,0.7171717171717171,0.2669172932330827,34112,28,195,71,3,"['ADAMTS3', 'LINC01378', 'TESPA1']","['LINC00508', 'LINC00507', 'ADAMTS3', 'ART3', 'LINC01378', 'TESPA1', 'LY86-AS1', 'HPCAL1', 'TAFA1', 'MLIP']",0.0886357724666595
4.1,CrossArea_cluster,L2/3 IT_1,252,0.5128205128205128,0.5140562248995983,0.5079365079365079,34033,121,124,128,4,"['PRSS12', 'COL5A2', 'SLC38A11', 'LAMA2']","['PRSS12', 'VIPR2', 'COL5A2', 'SLC38A11', 'LAMA2', 'RORB', 'COBLL1', 'CA10', 'NTNG1', 'TAFA1']",0.1023871898651123
4.1,CrossArea_cluster,L4 IT_5,340,0.6053811659192825,0.782608695652174,0.3176470588235294,34036,30,232,108,2,"['COL22A1', 'LINC01202']","['COL22A1', 'CMAHP', 'RP11-197K6.1', 'ADAMTS16', 'MYLK', 'LINC01202', 'OTOGL', 'RMST', 'RORB', 'ANO3']",0.5651403665542603
4.1,CrossArea_cluster,L4 IT_1,127,0.5316455696202531,0.6268656716417911,0.3307086614173228,34254,25,85,42,2,"['SLC22A9', 'COBLL1']","['SLC22A9', 'SLC22A10', 'SCHLAP1', 'RP11-197K6.1', 'SLC38A11', 'COBLL1', 'RORB', 'RHOBTB2', 'MLIP', 'TSHZ2']",0.5354225635528564
4.1,CrossArea_cluster,L2/3 IT_3,500,0.6823821339950372,0.7913669064748201,0.44,33848,58,280,220,4,"['COL27A1', 'BMPR1B', 'MOXD1', 'LAMA2']","['COL27A1', 'ANKRD62', 'BMPR1B', 'SYT2', 'MOXD1', 'LAMA2', 'SV2C', 'TESPA1', 'EPB41L4A', 'CBLN2']",0.110342338681221
