CrossArea_cluster,mean,std,median,count,q1,q3,f_score
Lamp5 Lhx6_1,-0.045522366090776235,0.36154144706139263,0.040310571279574256,270,-0.35049021022616617,0.2735215289571168,0.8402061855670103
L6b_4,-0.022249246053000885,0.3601846565158952,0.030017546365317,255,-0.3105712152160507,0.29605106938297965,0.6592592592592592
Sst_13,-0.001636524374131639,0.30267340164804696,0.0118056299623176,265,-0.2078470155467749,0.2748340389871438,0.552665799739922
Vip_14,-0.13619217104871578,0.3654914773087964,0.0104101192691222,292,-0.5429852840696079,0.18667607930004512,0.625
Sst_8,-0.04424263284872726,0.3251684654419044,0.00186420671372235,184,-0.3330737378971686,0.2501277581027544,0.4352678571428571
Vip_11,-0.07151871275150681,0.30037495177015205,0.0015315830031693998,242,-0.339637727797583,0.1917545745475882,0.53156146179402
Sst_15,-0.028342748383039476,0.24838084278566472,-0.0021882900649614,77,-0.1945335981066736,0.1926803709954712,0.373134328358209
Sst_22,-0.07303625529869127,0.3249285241564109,-0.00891641462983045,296,-0.35133533518690374,0.23908739865168904,0.4555084745762712
L6b_6,-0.19718849664639765,0.3168539948877631,-0.0206560869156147,301,-0.4630646919877512,0.0346910195847784,0.7077856420626896
Sst_32,-0.04408762669430359,0.25672309457096654,-0.02699938176089895,176,-0.24958258908114744,0.1891472269300084,0.3771551724137931
Sst_10,-0.07773833359139601,0.2178006685818894,-0.027111971357299952,280,-0.20088148481132795,0.09287862453227344,0.2741935483870967
Sst_9,-0.12802539341978472,0.3114700030027218,-0.03136445292829485,244,-0.39338245165667074,0.16171052888422527,0.3275401069518716
Sst_31,-0.06473300709659165,0.22164295443334742,-0.040081704848976996,206,-0.20749669761646866,0.10865494853647704,0.4649122807017544
Astro_4,-0.06295369251528973,0.2535405795604367,-0.0401113770821559,242,-0.3020797993189442,0.15677662250413404,0.4977628635346756
Sst_21,-0.06030524464706651,0.2056907158116133,-0.0440286475324895,299,-0.1772501642850336,0.09613088312920985,0.4965986394557823
Sst_14,-0.18280302866045767,0.23508568155265805,-0.0506886601305444,11,-0.38992229280269514,-0.00121565282098135,0.4347826086956521
Sst_37,-0.18436479313804063,0.27434344511260855,-0.053788908712839104,360,-0.2530895263346458,0.0033379318796109,0.5405405405405406
Lamp5_5,-0.08567972812235117,0.18193895643361432,-0.0550799279279011,270,-0.21842401511534498,0.06611191352221978,0.7547169811320755
Sst_25,-0.049442845270793734,0.26794814009194323,-0.0597239374670202,129,-0.2174249262696198,0.1727144101925163,0.4377104377104377
Sncg_2,-0.1306530412297984,0.3176687048477404,-0.0650251451846476,265,-0.3974813117798091,0.1512381609849291,0.6633380884450785
Micro/PVM_1,-0.19433671326475488,0.24897865962184793,-0.06581775845072646,232,-0.39197159053614633,0.013226001932859124,0.9324596774193548
L2/3 IT_4,-0.11016728889905358,0.25312833382529626,-0.08703612425706715,494,-0.2919917688116058,0.10251253468630919,0.6418383518225039
Sncg_6,-0.1067209035536568,0.2696929848880354,-0.0897162425951133,283,-0.32865739635816554,0.1146508258787649,0.4567022538552787
Sncg_4,-0.1024681702206971,0.23673755741418198,-0.11559477237586595,292,-0.2929018022769057,0.11376179133400685,0.6306818181818182
Vip_3,-0.11454270938677014,0.3034637915875145,-0.11972953347601145,270,-0.38216179664125005,0.1619698025455951,0.4361179361179361
Vip_2,-0.09255555611896782,0.28346151345190623,-0.12284907244870875,236,-0.31714202658571766,0.16104953856462334,0.4108391608391608
L2/3 IT_1,-0.1150620326908223,0.18257374300913398,-0.12399045601288194,252,-0.21139348196364238,0.011092468538103126,0.5128205128205128
Sst_26,-0.18597194604460965,0.22516138726233953,-0.14635445508789405,306,-0.347848797395813,0.0041864139400751505,0.2504244482173174
Chandelier_1,-0.1539211801029143,0.26366409140562935,-0.15902717451537615,278,-0.3672115657882186,0.06247635328131512,0.8485193621867881
Sst_4,-0.2283397351431061,0.19509334944880027,-0.17462560128471954,394,-0.3209421183003047,-0.08732503201621791,0.5594679186228482
Vip_1,-0.20128680826301482,0.2613757951855256,-0.1916841752090905,201,-0.349506073449533,0.0027445556263058,0.44543429844098
L5 IT_6,-0.16024776888220776,0.25508037905126973,-0.20429790171567214,164,-0.36063123775182293,0.06114227440276232,0.7341269841269841
Sst_30,-0.18848732405708093,0.15328739412210404,-0.2086808512974839,319,-0.3052471031820348,-0.0812602798099238,0.4772991850989522
OPC_1,-0.1988917503133347,0.2404766704468635,-0.21409243787317256,228,-0.41172815409299984,0.016711374915475925,0.8079268292682927
Sst_1,-0.22107440329907313,0.1974037936759606,-0.225514083557695,261,-0.3592098222612178,-0.0709008470783357,0.5025125628140703
Sst_35,-0.27186754142631875,0.218888066150602,-0.25150682645095207,288,-0.3546906890606771,-0.1364253498678336,0.4954268292682927
Sst_29,-0.24313738773804436,0.209738942230562,-0.2516026600354495,251,-0.41679457753276433,-0.0619993804281153,0.5038167938931297
Vip_24,-0.2687047654166456,0.25280019690125105,-0.2535790348865291,201,-0.5361447942784952,-0.0559931295836517,0.3926701570680628
Pvalb_9,-0.27368649292972363,0.24414175924976553,-0.2672786472317259,103,-0.4123756043288612,-0.0858240372259857,0.5410821643286573
L5 IT_3,-0.24169259280950933,0.1821560009458514,-0.2676993805051512,170,-0.32888693986442724,-0.1307748468331569,0.5263157894736842
Sst_24,-0.2817969193862832,0.1678697791044599,-0.27061581660403033,342,-0.3986438676870312,-0.1470127575381353,0.4439746300211416
Vip_5,-0.25148593090412985,0.1825855120008938,-0.2770913270940397,242,-0.39413601753201183,-0.09587055193171128,0.4596100278551532
Sst_11,-0.2805035628130079,0.2188659763855545,-0.27831534098807087,284,-0.4452987220707391,-0.11025476998784205,0.3612385321100917
Vip_17,-0.2734013505115269,0.19537847631981775,-0.2881697218927496,301,-0.4578715304823023,-0.0914586783668295,0.5909694555112882
L5 ET_2,-0.24979453180713695,0.27955944268354893,-0.2900148338198524,424,-0.49215751634308935,0.027611950735108852,0.7957848837209303
