author_cell_type,mean,std,median,count,q1,q3,f_score
HRGC5,0.5235886191037236,0.14965234484113532,0.5765560089705055,5000,0.47032640848547697,0.630591266745507,0.1998059028372438
HRGC3,0.4356453556778159,0.3209891653160429,0.5747402994875184,5000,0.4208806203760256,0.6177149026251987,0.7490272373540856
HAC90,0.5012010431561564,0.21031407083703876,0.5695677277497838,79,0.49821953202519675,0.6054405295753087,0.0180602006688963
HAC37,0.47002501635983257,0.25320481279733364,0.5664379287366398,3831,0.43788862321916877,0.6208111193363239,0.7399801258694932
VIP,0.5079058861306887,0.2162041974980248,0.5652198595953913,5000,0.4630226682111935,0.6275388690035589,0.8926996029995589
HAC54,0.48061504171688774,0.21511909668110873,0.5596737939793341,1194,0.4465873404614609,0.6044145682135658,0.749534450651769
17_21,0.49685125866932617,0.2326402121128829,0.5580841445278609,591,0.4057109780114181,0.6693039526703166,0.664
HAC79,0.42848736456319064,0.27793150158805086,0.5501029850509194,186,0.3578187277625637,0.5944998838190947,0.0419906687402799
FMB,0.49376894039417385,0.19089977048430085,0.5498768942657396,5000,0.40959143113064883,0.6308165360434147,0.7766455521894795
HAC11,0.44459075882084137,0.24411106140563324,0.5347793236498369,5000,0.40544571633453985,0.5864499858530303,0.7013314967860422
HAC59,0.4112926835184905,0.28579815157109384,0.5275948662909156,990,0.37788535925246536,0.589354294455515,0.6957060280759703
HAC46,0.43920108924807555,0.2518850005542583,0.5268489768945619,2299,0.4280611452113531,0.5772095447272554,0.7313531353135313
H1,0.42623348616626644,0.23846169259510577,0.5206146382278207,5000,0.32304994916267515,0.5955986585425039,0.8506903814650129
HAC49,0.4388551316576823,0.2319942231774129,0.516970573421717,2031,0.41785858939751486,0.5712046365415895,0.7141591352117668
HAC20,0.4011998522243589,0.26585188456966724,0.5127009242758221,5000,0.3362787304903792,0.5724597011076781,0.7385848200786211
16,0.35610218387078996,0.35171910613368207,0.4960089114741657,50,0.3642180648934142,0.5509646796269267,0.4850746268656716
HAC14,0.38839451469984104,0.26414280753714797,0.492365687782296,5000,0.3237374276330478,0.5639621900780688,0.7976247314394843
HAC92,0.3812357902801444,0.2908114278395716,0.4895026040422308,65,0.3655698071852588,0.5521066543805643,0.0506879073135409
HAC40,0.24795115714090613,0.4138174163801447,0.4885425013335173,3095,0.01796384209473555,0.5441990156418816,0.7151611717122196
HAC18,0.40517330835996596,0.25205188700244335,0.4879438711993027,5000,0.35074688954183153,0.5613525927970882,0.6955933821189946
HAC48,0.3478795614857159,0.31647501475899353,0.4824659135591321,2215,0.24776548388659536,0.564118315279535,0.6222603392414713
HAC42,0.3601037008977054,0.2809911484199534,0.4766749320214668,2695,0.29360299487003017,0.5414754131633926,0.7110300820419325
HAC32,0.3193062662279136,0.32250876521097493,0.4703380052586272,4645,0.2403927255372748,0.5314580878307318,0.7330930177885746
GB,0.3440842510849614,0.2659377026501797,0.46302480701572746,5000,0.24996231367903485,0.5273262438785069,0.7999325236167342
VG3,0.3484193574739948,0.29345358817531125,0.44611896002275103,5000,0.279116174123447,0.5339344839045768,0.8372170439414115
HAC2,0.2982836237706912,0.30645010134724215,0.44202493287481953,5000,0.16674771312329267,0.5188091738938787,0.567625458996328
HAC28,0.2892272654709255,0.32857296877534903,0.4383246931420566,5000,0.22629115614502227,0.5065223256209802,0.6436731107205624
HAC45,0.363702461426599,0.21869549099112542,0.4332722050268504,2312,0.3129485254760238,0.49830026072913497,0.7657031684269039
AII*,0.3008150415277043,0.2988932849008446,0.4325365259434051,1057,0.1794675381889505,0.5115084530508915,0.6763590391908976
HAC68,0.28773901630649457,0.2967807397501484,0.42870852204094734,542,0.1828274452224052,0.5034511361296694,0.6307129798903108
HAC34,0.26668921573247495,0.358211717996211,0.4231120930297696,4222,0.0719622873531501,0.5356738608578092,0.7019934031263445
DB4a,0.3383518843341606,0.23420992905100882,0.4144314443003455,5000,0.2442315857812945,0.5054159570557335,0.8319945625308948
HAC89,0.30532134430672037,0.2650993214953193,0.4129674484946845,84,0.2430638182851182,0.47119266976839086,0.0313257881972514
HAC27,0.2791253929437556,0.31797973928230977,0.41209773093451235,5000,0.21141617727406312,0.4922006522070899,0.6399936868686869
HAC8,0.3508547860018563,0.19858986656530345,0.40523218932702,5000,0.3309251241220405,0.4714603997139123,0.6430011520737328
HAC41,0.22928130442443728,0.33197509118449353,0.4025945827908058,3032,0.05119365168150575,0.4709090573883571,0.6912131283755713
HAC51,0.3413897655947344,0.23442385024153853,0.3987265121130677,1453,0.2289908385631239,0.5283393678176866,0.6658326383097025
HAC23,0.31709524872509715,0.25400080842627487,0.3978040384255444,5000,0.2241816440576793,0.4995377192345311,0.6662339645693341
HAC82,0.2866079727862452,0.2920971332439031,0.3943849676599867,151,0.2311125361810463,0.4790596351961049,0.0513529527947857
HAC13,0.248815079472862,0.3319514257502346,0.39285849537813367,5000,0.17913246352389828,0.46591151522420887,0.78761429758936
HAC30,0.26703193722098284,0.32495405082188616,0.3870808871635164,4936,0.12483246575324294,0.5131200626716798,0.7037337662337663
MG,0.3455686949704527,0.21445656629460116,0.3828587342346349,5000,0.2329114941564371,0.5132259364086046,0.7943892045454546
HAC44,0.3017172971504181,0.24635228127259018,0.38272877571636504,2576,0.288447303506713,0.43077161347525983,0.7371605667060213
HAC93,0.2874155631789558,0.23086005853911584,0.358615661100321,55,0.24899151747440773,0.4237430898555633,0.0549828178694158
HAC19,0.2696285112180577,0.2373955333417996,0.355863760174849,5000,0.1834390491437801,0.4355081549153321,0.7761354986044151
HAC39,0.2088362206271167,0.35758603307832587,0.3482093943785832,3140,0.03106415774948145,0.4878569208334191,0.6360871768879879
OFF-SAC,0.2891747439826725,0.19858481095886205,0.3451248286836797,4647,0.20368164756830826,0.4364046415352115,0.7419781188046112
AII,0.21729555071642484,0.2905883224858217,0.33297967876858336,5000,0.03683475193655612,0.451798372824079,0.7498827392120075
HAC6,0.2446641311655341,0.23473474310107567,0.3065427006793569,5000,0.14847946606580137,0.4128965400124118,0.6275075225677031
HAC3,0.16121843743501443,0.26857772617118153,0.27133751223913144,5000,-0.0087011794658499,0.37148631809733945,0.6585584119752684
HAC64,0.15907140511103102,0.2668912061783527,0.2517714324747806,668,0.16438639584611264,0.2939453929409546,0.6107594936708861
