author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
HAC5,0.15631097041145614,0.23797698075982185,0.23825197684732277,5000
HAC50,-0.13773230776019035,0.2566110348836471,-0.0700259318453082,1561
HAC51,0.34138976559473444,0.23442385024153856,0.39872651211306775,1453
HAC52,-0.30019369812575514,0.1506627986196259,-0.26027639671732855,1278
HAC53,0.07706836279241358,0.3007615039496947,0.20793789727649942,1238
HAC54,0.48061504171688774,0.21511909668110873,0.5596737939793341,1194
HAC55,-0.23994937041962025,0.28500301396641153,-0.22614761416011908,1157
HAC56,-0.061649765043796406,0.30173081385582445,0.025742488964637135,1133
HAC57,-0.369323482078175,0.14838241180290695,-0.3542983058037915,1119
HAC59,0.4112926835184905,0.28579815157109384,0.5275948662909156,990
HAC6,0.24466413116553412,0.2347347431010757,0.30654270067935696,5000
HAC60,-0.5850439476668207,0.18620924824632823,-0.5560820758577031,876
HAC62,-0.2807520318167428,0.14473450170752358,-0.25482266384840757,864
HAC63,0.04515369876888391,0.2093035024997817,0.07992694750063957,677
HAC64,0.15907140511103104,0.2668912061783527,0.2517714324747806,668
HAC65,0.6143247100768099,0.26195345164909917,0.7091445024478519,595
HAC66,-0.001840637250890536,0.2795349218943126,0.05508662737680146,588
HAC68,0.28773901630649457,0.2967807397501484,0.42870852204094734,542
HAC71,-0.24286907056127813,0.22644441187990136,-0.2027884220707512,502
HAC72,-0.7706929063939125,0.1266022245795631,-0.7771914202334811,483
HAC74,-0.8635512022170968,0.04863127805979706,-0.8578073125967738,412
HAC75,-0.06705624693524709,0.2819435869332537,0.004025827476777511,387
HAC77,-0.05168814139820244,0.3123598688925532,0.0823359910531602,246
HAC78,-0.41382525497878275,0.19604684689077095,-0.34748738341549523,241
HAC79,0.42848736456319064,0.27793150158805086,0.5501029850509194,186
HAC8,0.3508547860018563,0.19858986656530347,0.40523218932702,5000
HAC80,-0.657629838067592,0.14019571614894355,-0.6453159715103086,165
HAC81,-0.21942597298662014,0.2609223652900815,-0.16952718140133197,159
HAC82,0.2866079727862452,0.2920971332439031,0.39438496765998676,151
HAC84,-0.6006434501863185,0.1282429820141423,-0.6086816439497869,117
HAC86,0.08651982296060272,0.27384224760165415,0.19480136860842245,94
HAC87,-0.32265969136616957,0.22687163749541944,-0.3154852436204023,90
HAC88,-0.8156134926579593,0.07247708749442945,-0.8205084142023225,87
HAC89,0.3053213443067204,0.2650993214953193,0.41296744849468453,84
HAC9,0.08307755806486457,0.1989347809663361,0.1309173128224768,5000
HAC90,0.5012010431561564,0.21031407083703876,0.5695677277497838,79
HAC91,-0.7629301659924539,0.1266966931834566,-0.8056575558738464,74
HAC92,0.3812357902801444,0.2908114278395716,0.48950260404223084,65
HAC93,0.2874155631789558,0.23086005853911587,0.35861566110032106,55
HAC95,0.5935775182705516,0.19169071306854943,0.6717593981306538,39
HRGC3,0.4356453556778159,0.3209891653160429,0.5747402994875184,5000
HRGC4,0.6700204100928254,0.20152217541150835,0.7386979873084076,5000
HRGC5,0.5235886191037236,0.14965234484113532,0.5765560089705055,5000
IMB,0.5290235713087433,0.20151535087349876,0.5880079673405795,5000
MG,0.34556869497045273,0.21445656629460116,0.38285873423463496,5000
MG_OFF,-0.5763756267525372,0.1922661572544663,-0.5982077413348492,5000
MG_ON,-0.6942769879010074,0.1414103744006427,-0.7132943316314722,5000
ML_Cone,-0.004120888835618944,0.2810466711315586,0.04702690191804024,5000
Microglia,0.659336918875033,0.13526274863759472,0.701315446920203,4894
OFF-SAC,0.2891747439826725,0.19858481095886205,0.3451248286836797,4647
OFF-SAC*,-0.3066692445252345,0.20831053642530067,-0.23898372475732055,274
OFFx,0.7272399840501036,0.20459633876547711,0.781033828316469,5000
ON-SAC,0.013767239129106821,0.24881732930000433,0.08645040900271474,5000
ON_DSGC,0.8689162031205229,0.12486063742302962,0.9050068025577552,115
PENK,0.5313759746685675,0.2908871750899072,0.6441806111163957,5000
PG_OFF_1,0.7474801910252981,0.10034175626919363,0.7707983969577743,3997
PG_OFF_2,0.5446760409497335,0.20142894245883225,0.6180964152961796,3312
PG_ON,0.527279422570837,0.17862737411441681,0.5869749796940975,5000
RB,0.5417368969893064,0.1610906311088718,0.5826660025463106,5000
Rod,0.0801967389000242,0.3898283249186757,0.2139303285164536,5000
SEG,0.6469872735720371,0.23288338971267689,0.7192975109666926,5000
SEG*,-0.10155770932128375,0.2801197019233902,-0.028996946506855574,234
S_Cone,0.6148863188268092,0.18125050475356244,0.6591378321529375,5000
VG3,0.3484193574739948,0.2934535881753112,0.4461189600227511,5000
VG3*,-0.16236576445267675,0.31911601818665086,-0.11845073500603985,584
VIP,0.5079058861306887,0.2162041974980248,0.5652198595953913,5000
ipRGC_1,0.8907075752659349,0.07062945327362964,0.9120526952552034,115
ipRGC_2,0.6522363098213575,0.21459585109455606,0.7335298497846222,849
nNOS,-0.33598276863393534,0.15037762726607498,-0.33749039885866505,5000
