author_cell_type,mean,std,median,count,q1,q3,f_score
HAC6,0.2566430953447741,0.23242793754557659,0.3159940169903027,26722,0.16184401328244355,0.4219156161867586,0.6275695284159613
HAC3,0.17047136344953073,0.26564700610353464,0.2773488315940271,38572,0.006810560564061326,0.3783381891716459,0.6606739761367301
HAC64,0.1591782347876138,0.26677993752871393,0.2517714324747823,668,0.16438639584611145,0.29394539294095595,0.6024096385542169
HAC24,0.16854476941855723,0.2173667930449461,0.2385483994805682,6337,0.0549283014057819,0.3318114466106542,0.6785907492561536
HAC5,0.14984739574230246,0.24046161202295482,0.233022257129276,38393,0.0272053720359127,0.3356608471052368,0.6967896023105976
HAC53,0.07705894805415853,0.3007692746437776,0.2079378972764998,1238,-0.13049978373672624,0.3195368037243209,0.569811320754717
Rod,0.07654567133028758,0.3875882385727722,0.2050344728584632,1066056,-0.18104125678441918,0.3991305127759753,0.8239688812052358
HAC86,0.08648335157251665,0.2738936311986147,0.19480136860842312,94,-0.05741349592481865,0.2776230783158815,0.6045751633986928
HAC9,0.08678625531853787,0.20034234206740748,0.13494443789372165,19532,-0.054268427381404125,0.2565900152670808,0.8211009174311926
HAC15,0.008610697635584757,0.3115961691208272,0.1145232965667333,10755,-0.2905399659269225,0.3052596184296117,0.5537712391214256
HAC77,-0.04094073040832665,0.31306072575216554,0.0947679151511769,246,-0.24315064938430575,0.2026861858427027,0.0724777734827986
ON-SAC,0.016573086425399754,0.2512881863249151,0.0889346641731845,15349,-0.161763486888713,0.2280130580568671,0.7144854586129754
HAC63,0.040067198677548495,0.20806206948544687,0.0745029961948509,677,-0.0690021331546075,0.1878359128013597,0.6582482536270822
HAC66,0.0032535959764181726,0.27871633031169113,0.06298225395022715,588,-0.23060701211669674,0.26604014195875736,0.5200501253132832
ML_Cone,-0.004508977771944681,0.2800205783988307,0.0518080858247408,118559,-0.2009759690406146,0.22568504771003484,0.7224
HAC4,-0.005253338275493,0.186662115117937,0.0504585188841078,38497,-0.1142241716332796,0.1461881242123199,0.5516378525932666
HAC56,-0.06191148597664442,0.30195208091188497,0.0257424889646408,1133,-0.2771584386610539,0.1963435230264904,0.396039603960396
HAC75,-0.06586093364227302,0.28196259925400435,0.0076784807719095,387,-0.21309430342816815,0.1473122352112255,0.5893074119076549
SEG*,-0.10194950293959477,0.2801093100086895,-0.02899694650685515,234,-0.38302850933418736,0.15986215179665547,0.5720823798627003
CAI,-0.13116176604637222,0.32297163275862095,-0.0324329459924646,450,-0.2536960396508369,0.11929152495103978,0.7565217391304347
HAC50,-0.13774207552873693,0.25662931630252594,-0.0700259318453093,1561,-0.2563965441008924,0.073164055116236,0.6940315572833295
VG3*,-0.15577125584254595,0.31976626426891985,-0.10837992572651775,584,-0.352210573078788,0.13630850911701364,0.6436965811965812
HAC81,-0.21395134876127303,0.262179876462582,-0.1612788816496629,159,-0.3745812838408194,0.00770183487325485,0.5445544554455446
HAC71,-0.24401691869022255,0.22647677755064863,-0.20278842207075104,502,-0.35745631163045555,-0.07353226882228239,0.6790945406125166
HAC55,-0.24002276327345198,0.28497473631090914,-0.2261476141601189,1157,-0.4503665325058885,0.0169532193028432,0.4638388770216661
OFF-SAC*,-0.3067170873137268,0.2083442562674892,-0.238983724757319,274,-0.44079284425666776,-0.1360895655268288,0.7112676056338029
HAC62,-0.2807496237933038,0.14472380222503542,-0.25482266384840657,864,-0.3437441031277196,-0.18346724138752463,0.7375776397515528
HAC52,-0.30021786892984864,0.150666288432221,-0.26027639671732766,1278,-0.3548109571067464,-0.20063356001550908,0.4585152838427948
HAC87,-0.32540740803096396,0.226108776294383,-0.3170283568530333,90,-0.4721135870645972,-0.13399074135547578,0.5785123966942148
nNOS,-0.3339449869204893,0.1523149022181396,-0.3379638006762036,5919,-0.41044723995227206,-0.20670606383410317,0.6498646820027063
HAC78,-0.4138891236491775,0.19614221267385723,-0.3474873834154952,241,-0.580359241535766,-0.2610504995655629,0.6759098786828422
HAC57,-0.36831675026152044,0.14840241503489998,-0.3539389301683068,1119,-0.4255584455834941,-0.27283255414886587,0.5705705705705706
HAC60,-0.5849508042934849,0.18641197762567752,-0.5560820758577025,876,-0.6499056391011173,-0.48203549949992097,0.5232558139534884
4,-0.5818185314444184,0.14830373931593663,-0.5877928568408994,208,-0.6700655921288379,-0.5211364893134627,0.3875
MG_OFF,-0.5767271885858058,0.19002385324361137,-0.5955168828249193,189172,-0.7352060922799453,-0.44446364222622603,0.5748017924853499
HAC84,-0.600659753883815,0.128209239192025,-0.6086816439497867,117,-0.6844029952464727,-0.5401934079424746,0.6389776357827476
HAC80,-0.6587050625649652,0.13983311918654623,-0.6485748862652552,165,-0.7462877617644079,-0.5581545714690056,0.0514995455922447
